sasdate;date_key;word_date;date;year;quarter;month;day_of_month;week;day_of_week;weekday;month_and_year;holiday;timezone_id;timezone;timezone_offset
21915;10120;01-01-2020;01-01-2020;2020;1;1;1;0;Wed;4;01-01-1960;NEWYEAR;ETC/GMT+7;GMT-07:00;-25200
21916;10220;02-01-2020;01-02-2020;2020;1;1;2;0;Thu;5;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21917;10320;03-01-2020;01-03-2020;2020;1;1;3;0;Fri;6;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21918;10420;04-01-2020;01-04-2020;2020;1;1;4;0;Sat;7;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21919;10520;05-01-2020;01-05-2020;2020;1;1;5;1;Sun;1;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21920;10620;06-01-2020;01-06-2020;2020;1;1;6;1;Mon;2;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21921;10720;07-01-2020;01-07-2020;2020;1;1;7;1;Tue;3;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21922;10820;08-01-2020;01-08-2020;2020;1;1;8;1;Wed;4;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21923;10920;09-01-2020;01-09-2020;2020;1;1;9;1;Thu;5;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21924;11020;10-01-2020;01-10-2020;2020;1;1;10;1;Fri;6;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21925;11120;11-01-2020;01-11-2020;2020;1;1;11;1;Sat;7;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21926;11220;12-01-2020;01-12-2020;2020;1;1;12;2;Sun;1;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21927;11320;13-01-2020;01/13/2020;2020;1;1;13;2;Mon;2;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21928;11420;14-01-2020;01/14/2020;2020;1;1;14;2;Tue;3;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21929;11520;15-01-2020;01/15/2020;2020;1;1;15;2;Wed;4;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21930;11620;16-01-2020;01/16/2020;2020;1;1;16;2;Thu;5;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
21931;11720;17-01-2020;01/17/2020;2020;1;1;17;2;Fri;6;01-01-1960;;ETC/GMT+7;GMT-07:00;-25200
